"ee.Taxon","N","Definition"
"mouse",1,"orthochromatic erythroblast"
"mouse",1,"choroid plexus epithelium"
"mouse",1,"lateral ventricle choroid plexus epithelium"
"mouse",1,"fourth ventricle choroid plexus epithelium"
"mouse",1,"macula"
"mouse",1,"utricle of membranous labyrinth"
"mouse",1,"macula of utricle of membranous labyrinth"
"mouse",1,"epithelium of utricle"
"mouse",1,"vestibular epithelium"
"human",1,"nuclear chromosome"
"human",1,"chromatin"
"human",1,"nuclear chromatin"
"human",1,"intracellular"
"human",1,"nucleus"
"human",1,"chromosome"
"human",1,"membrane-enclosed lumen"
"human",1,"nuclear lumen"
"human",1,"organelle"
"human",1,"membrane-bounded organelle"
"human",1,"non-membrane-bounded organelle"
"human",1,"intracellular organelle"
"human",1,"intracellular membrane-bounded organelle"
"human",1,"intracellular non-membrane-bounded organelle"
"human",1,"organelle lumen"
"human",1,"intracellular organelle lumen"
"mouse",1,"primitive streak"
"mouse",1,"post-anal tail bud"
"human",1,"follicular dendritic cell"
"human",1,"decidua"
"human",1,"ligament"
"human",1,"anterior cruciate ligament of knee joint"
"human",1,"cruciate ligament of knee"
"human",1,"skeletal ligament"
"human",1,"ligament of knee joint"
"mouse",1,"secondary olfactory cortex"
"mouse",1,"medial entorhinal cortex"
"mouse",1,"dorsal zone of medial entorhinal cortex"
"mouse",1,"ventral zone of medial entorhinal cortex"
"mouse",1,"metaphysis of femur"
"mouse",1,"ON-bipolar cell"
"mouse",1,"neuropil"
"human",1,"respiratory system smooth muscle"
"rat",1,"epithelial cell of distal tubule"
"rat",1,"kidney epithelial cell"
"rat",1,"renal cortical epithelial cell"
"rat",1,"kidney cortical cell"
"rat",1,"epithelial cell of nephron"
"rat",1,"nephron tubule epithelial cell"
"rat",1,"kidney cell"
"rat",1,"kidney medulla cell"
"rat",1,"kidney tubule cell"
"rat",1,"kidney cortex tubule cell"
"rat",1,"kidney outer medulla cell"
"rat",1,"kidney loop of Henle epithelial cell"
"rat",1,"kidney loop of Henle ascending limb epithelial cell"
"rat",1,"kidney loop of Henle thick ascending limb epithelial cell"
"rat",1,"kidney loop of Henle medullary thick ascending limb epithelial cell"
"rat",1,"kidney loop of Henle cortical thick ascending limb epithelial cell"
"rat",1,"metanephros"
"rat",1,"nephron tubule"
"rat",1,"collecting duct of renal tubule"
"rat",1,"loop of Henle"
"rat",1,"thick ascending limb of loop of Henle"
"rat",1,"distal convoluted tubule"
"rat",1,"inner renal medulla loop of Henle"
"rat",1,"proximal tubule"
"rat",1,"distal tubule"
"rat",1,"intermediate tubule"
"rat",1,"loop of Henle ascending limb thin segment"
"rat",1,"long nephron"
"rat",1,"short nephron"
"rat",1,"kidney outer medulla inner stripe"
"rat",1,"kidney outer medulla outer stripe"
"rat",1,"cortical collecting duct"
"rat",1,"outer medullary collecting duct"
"rat",1,"inner medullary collecting duct"
"rat",1,"nephron epithelium"
"rat",1,"nephron tubule epithelium"
"rat",1,"descending thin limb"
"rat",1,"metanephric tubule"
"rat",1,"metanephric epithelium"
"rat",1,"metanephric nephron"
"rat",1,"metanephric ascending thin limb"
"rat",1,"metanephric distal tubule"
"rat",1,"metanephric nephron epithelium"
"rat",1,"metanephric nephron tubule"
"rat",1,"ascending limb of loop of Henle"
"rat",1,"premacula segment of distal straight tubule"
"rat",1,"renal convoluted tubule"
"rat",1,"outer medulla inner stripe loop of Henle"
"rat",1,"outer medulla outer stripe loop of Henle"
"rat",1,"renal cortex tubule"
"rat",1,"distal straight tubule postmacula segment"
"rat",1,"region of nephron tubule"
"rat",1,"renal straight tubule"
"rat",1,"renal tubule"
"rat",1,"outer renal medulla loop of Henle"
"rat",1,"renal medulla loop of Henle"
"human",1,"mesothelial cell of pleura"
"mouse",1,"Langerhans cell"
"mouse",1,"myoepithelial cell"
"mouse",1,"myoepithelial cell of mammary gland"
"mouse",1,"myoepithelial cell of lactiferous gland"
"mouse",1,"mucosa of middle ear"
"mouse",1,"external genitalia"
"mouse",1,"indifferent gonad"
"mouse",1,"indifferent external genitalia"
"mouse",1,"Kit-positive, CD34-positive common myeloid progenitor"
"mouse",1,"CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor"
"mouse",1,"Kit-positive granulocyte monocyte progenitor"
"mouse",1,"exocrine cell"
"mouse",1,"hepatic stellate cell"
"mouse",1,"inflammatory macrophage"
"mouse",1,"ascending colon"
"human",1,"medial dorsal nucleus of thalamus"
"human",1,"caudal ganglionic eminence"
"mouse",1,"brush border epithelial cell"
"mouse",1,"epithelial cell of proximal tubule"
"mouse",1,"nephron tubule epithelial cell"
"mouse",1,"kidney tubule cell"
"mouse",1,"kidney cortex tubule cell"
"mouse",1,"proximal tubule"
"mouse",1,"nephron tubule epithelium"
"mouse",1,"hindlimb bud"
"mouse",1,"pelvic appendage bud"
"human",1,"myeloid suppressor cell"
"human",1,"right cardiac atrium"
"human",1,"skin of pes"
"human",1,"skin of manus"
"human",1,"pes"
"human",1,"manus"
"human",1,"autopod region"
"human",1,"segment of pes"
"human",1,"segment of manus"
"human",1,"plantar part of pes"
"human",1,"palmar/plantar part of autopod"
"human",1,"palmar part of manus"
"human",1,"segment of autopod"
"human",1,"skin of palmar/plantar part of autopod"
"human",1,"skin of palm of manus"
"human",1,"skin of sole of pes"
"human",1,"autopod skin"
"human",1,"subcutaneous fat cell"
"mouse",1,"glucagon secreting cell"
"mouse",1,"pancreatic A cell"
"mouse",1,"acinar cell"
"mouse",1,"type A enteroendocrine cell"
"mouse",1,"ploidy"
"mouse",1,"euploid"
"human",1,"fibroblast of the conjunctiva"
"human",1,"parathyroid gland"
"human",1,"early lymphoid progenitor"
"human",1,"undifferentiated cell of bronchus epithelium"
"human",1,"inflammatory cell"
"human",1,"posterior cingulate cortex"
"human",1,"bipolar neuron"
"human",1,"retinal bipolar neuron"
"human",1,"rod bipolar cell"
"human",1,"cone retinal bipolar cell"
"human",1,"visual system neuron"
"human",1,"excitatory neuron"
"rat",1,"gas molecular entity"
"rat",1,"ammonia"
"rat",1,"molecular entity"
"rat",1,"chemical entity"
"rat",1,"inorganic molecular entity"
"rat",1,"inorganic hydride"
"rat",1,"pnictogen molecular entity"
"rat",1,"main group molecular entity"
"rat",1,"hydrogen molecular entity"
"rat",1,"s-block molecular entity"
"rat",1,"p-block molecular entity"
"rat",1,"hydrides"
"rat",1,"nitrogen hydride"
"rat",1,"azane"
"rat",1,"pnictogen hydride"
"rat",1,"polyatomic entity"
"rat",1,"mononuclear parent hydride"
"rat",1,"heteroatomic molecular entity"
"rat",1,"nitrogen molecular entity"
"mouse",1,"umbilical cord blood"
"mouse",1,"dorsal lateral geniculate nucleus"
"rat",1,"left cerebral hemisphere"
"mouse",1,"lateral funiculus of spinal cord"
"mouse",1,"spinal cord lateral column"
"mouse",1,"spinal cord lateral motor column"
"human",1,"nerve fasciculus"
"mouse",1,"pre-Botzinger complex"
"mouse",1,"primary motor neuron"
"mouse",1,"superior vagus X ganglion"
"mouse",1,"nerve fiber"
"mouse",1,"unmyelinated nerve fiber"
"mouse",1,"third lumbar dorsal root ganglion"
"mouse",1,"spiral ganglion neuron"
"mouse",1,"cell population proliferation"
"mouse",1,"extracellular region"
"mouse",1,"vesicle"
"mouse",1,"extracellular organelle"
"mouse",1,"extracellular vesicle"
"rat",1,"cranial nerve nucleus"
"rat",1,"spinal nucleus of trigeminal nerve"
"rat",1,"caudal part of spinal trigeminal nucleus"
"rat",1,"trigeminal nucleus"
"rat",1,"trigeminal sensory nucleus"
"rat",1,"trigeminal nuclear complex"
"mouse",1,"cerebral blood vessel"
"rat",1,"capillary"
"rat",1,"microcirculatory vessel"
"mouse",1,"cervicothoracic ganglion"
"mouse",1,"body of lateral ventricle"
"human",1,"neuronal receptor cell"
"human",1,"photoreceptor cell"
"rat",1,"skin of back"
"rat",1,"skin of head"
"rat",1,"skin of trunk"
"rat",1,"skin of thorax"
"rat",1,"chest"
"rat",1,"skin of chest"
"rat",1,"head or neck skin"
"rat",1,"anterior chest"
"rat",1,"skin of anterior chest"
"rat",1,"skin of face"
"mouse",1,"midbrain lateral wall"
"mouse",1,"neural tube lateral wall"
"rat",1,"skeletal muscle tissue of tibialis anterior"
"mouse",1,"granular layer of cerebellar cortex"
"mouse",1,"cerebellar layer"
"mouse",1,"cerebellum external granule cell layer"
"mouse",1,"epiblast (generic)"
"rat",1,"naris"
"rat",1,"orifice"
"rat",1,"external naris"
"rat",1,"mouth"
"rat",1,"saliva-secreting gland"
"rat",1,"oral gland"
"rat",1,"brain blood vessel"
"rat",1,"vasculature of brain"
"human",1,"turbinate bone"
"human",1,"olfactory region"
"human",1,"facial bone"
"human",1,"inferior nasal concha"
"human",1,"irregular bone"
"human",1,"facial skeleton"
"human",1,"ethmoid region"
"human",1,"nasal turbinal"
"human",1,"dental papilla cell"
"human",1,"mesenchymal cell"
"human",1,"odontogenic papilla"
"human",1,"head mesenchyme"
"human",1,"mesenchyme derived from head neural crest"
"human",1,"entire embryonic mesenchyme"
"human",1,"mesenchyme derived from neural crest"
"mouse",1,"nucleus"
"mouse",1,"cytoplasm"
"mouse",1,"intracellular membrane-bounded organelle"
"mouse",1,"proliferating neuroepithelium"
"rat",1,"embryonic fibroblast"
"human",1,"smooth muscle cell of the brain vasculature"
"rat",1,"axon tract"
"rat",1,"nervous system commissure"
"rat",1,"corpus callosum"
"rat",1,"cerebral hemisphere white matter"
"rat",1,"intercerebral commissure"
"rat",1,"dorsal telencephalic commissure"
"rat",1,"brain commissure"
"rat",1,"tract of brain"
"rat",1,"white matter of telencephalon"
"rat",1,"white matter of forebrain"
"rat",1,"commissure of telencephalon"
"mouse",1,"paraxial mesoderm"
"rat",1,"radial glial cell"
"rat",1,"Muller cell"
"mouse",1,"lateral superior olivary nucleus"
"mouse",1,"ventral cochlear nucleus"
"mouse",1,"sensory nerve"
"mouse",1,"mechanoreceptor"
"mouse",1,"sensory receptor"
"mouse",1,"nerve ending"
"mouse",1,"nociceptor"
"rat",1,"columnar/cuboidal epithelial cell"
"rat",1,"sensory epithelial cell"
"rat",1,"receptor cell"
"rat",1,"neurecto-epithelial cell"
"rat",1,"ecto-epithelial cell"
"rat",1,"olfactory epithelial cell"
"mouse",1,"incisor tooth"
"mouse",1,"dentition"
"mouse",1,"incisor mesenchyme"
"mouse",1,"smooth muscle cell of the brain vasculature"
"mouse",1,"lung endothelial cell"
"mouse",1,"cerebral cortex endothelial cell"
"mouse",1,"lung vasculature"
"human",1,"tetrapod frontal bone"
"human",1,"intramembranous bone"
"human",1,"basicranium"
"human",1,"triangular part of inferior frontal gyrus"
"human",1,"angular gyrus"
"human",1,"opercular part of inferior frontal gyrus"
"human",1,"inferior frontal gyrus"
"human",1,"dermatocranium"
"human",1,"dermal skeletal element"
"human",1,"membrane bone"
"human",1,"dermal bone"
"human",1,"dermal skeleton"
"human",1,"orbital part of frontal bone"
"human",1,"premotor cortex"
"human",1,"granule cell"
"human",1,"cortical granule cell"
"human",1,"dentate gyrus of hippocampal formation granule cell"
"human",1,"dentate gyrus of hippocampal formation"
"rat",1,"cerebrospinal fluid"
"rat",1,"transudate"
"rat",1,"bed nucleus of stria terminalis"
"rat",1,"core of nucleus accumbens"
"rat",1,"lateral nucleus of stria terminalis"
"human",1,"choroid plexus epithelium"
"mouse",1,"hydroxides"
"mouse",1,"oxoacid"
"mouse",1,"molecule"
"mouse",1,"oxygen molecular entity"
"mouse",1,"chalcogen molecular entity"
"mouse",1,"carboxylic acid"
"mouse",1,"hydrogen molecular entity"
"mouse",1,"s-block molecular entity"
"mouse",1,"amino acid"
"mouse",1,"carbon oxoacid"
"mouse",1,"polyatomic entity"
"mouse",1,"carbonyl compound"
"mouse",1,"organic oxo compound"
"mouse",1,"organochalcogen compound"
"mouse",1,"organooxygen compound"
"mouse",1,"heteroatomic molecular entity"
"mouse",1,"organic acid"
"mouse",1,"organic molecule"
"human",1,"mechanoreceptor cell"
"rat",1,"embryonic structure"
"rat",1,"ganglionic eminence"
"rat",1,"primary neuron"
"rat",1,"primary motor neuron"
"mouse",1,"piriform cortex layer 1"
"mouse",1,"piriform cortex layer 2"
"mouse",1,"piriform cortex layer 3"
"mouse",1,"olfactory bulb interneuron"
"mouse",1,"mitral cell"
"mouse",1,"olfactory bulb tufted cell"
"mouse",1,"olfactory bulb mitral cell layer"
"mouse",1,"olfactory bulb external plexiform layer"
"mouse",1,"olfactory bulb plexiform layer"
"mouse",1,"nerve root"
"mouse",1,"spinal nerve root"
"rat",1,"granular layer of cerebellar cortex"
"rat",1,"cerebellar layer"
"rat",1,"cerebellum external granule cell layer"
"rat",1,"neck"
"rat",1,"muscle of larynx"
"rat",1,"larynx"
"rat",1,"muscle of neck"
"rat",1,"recurrent laryngeal nerve"
"rat",1,"musculature of neck"
"rat",1,"musculature of larynx"
"rat",1,"laryngeal intrinsic muscle"
"rat",1,"posterior crico-arytenoid"
"rat",1,"crico-arytenoid muscle"
"rat",1,"adductor muscle"
"rat",1,"laryngeal nerve"
"rat",1,"thoracic ganglion"
"rat",1,"nerve trunk"
"rat",1,"thoracic dorsal root ganglion"
"rat",1,"eleventh thoracic dorsal root ganglion"
"rat",1,"sympathetic nerve trunk"
"rat",1,"thoracic sympathetic nerve trunk"
"mouse",1,"neuron neural crest derived"
"mouse",1,"enteric neuron"
"mouse",1,"celiac ganglion"
"mouse",1,"upper jaw region"
"mouse",1,"secondary palate"
"mouse",1,"soft palate"
"mouse",1,"roof of mouth"
"rat",1,"insular cortex"
"rat",1,"agranular insular cortex"
"mouse",1,"spinal cord oligodendrocyte"
"rat",1,"primary motor cortex"
"rat",1,"radial nerve"
"rat",1,"brachial nerve plexus"
"rat",1,"arm nerve"
"rat",1,"limb nerve"
"rat",1,"forelimb nerve"
"human",1,"medium spiny neuron"
"human",1,"arcuate nucleus of hypothalamus"
"human",1,"intermediate hypothalamic region"
"mouse",1,"medial amygdaloid nucleus"
"human",1,"axon"
"human",1,"cell projection"
"human",1,"neuron projection"
"human",1,"plasma membrane bounded cell projection"
"rat",1,"secondary olfactory cortex"
"rat",1,"medial entorhinal cortex"
"rat",1,"lateral entorhinal cortex"
"rat",1,"entorhinal cortex layer 4"
"rat",1,"entorhinal cortex layer 5"
"rat",1,"entorhinal cortex layer 3"
"rat",1,"entorhinal cortex layer 6"
"rat",1,"entorhinal cortex layer 2"
"mouse",1,"primary somatosensory area barrel field layer 2/3"
"mouse",1,"primary somatosensory area barrel field layer 4"
"mouse",1,"peripheral region of retina"
"mouse",1,"muscle of pes"
"mouse",1,"musculature of pes"
"mouse",1,"intrinsic muscle of pes"
"mouse",1,"intrinsic muscle"
"mouse",1,"cerebral cortex GABAergic interneuron"
"mouse",1,"chemoreceptor cell"
"mouse",1,"olfactory receptor cell"
"mouse",1,"kidney medulla cell"
"mouse",1,"kidney blood vessel cell"
"mouse",1,"kidney capillary endothelial cell"
"mouse",1,"capillary"
"mouse",1,"abdomen blood vessel"
"mouse",1,"kidney blood vessel"
"mouse",1,"kidney capillary"
"mouse",1,"abdominal segment blood vessel"
"mouse",1,"respiratory system blood vessel endothelium"
"mouse",1,"kidney vasculature"
"mouse",1,"heart endothelium"
"mouse",1,"microcirculatory vessel"
"mouse",1,"lung endothelium"
"mouse",1,"Kupffer cell"
"mouse",1,"visual pigment cell"
"mouse",1,"retinal pigment epithelial cell"
"rat",1,"trigeminal ganglion"
"rat",1,"cranial ganglion"
"human",1,"optic vesicle"
"human",1,"immature eye"
"human",1,"Kupffer cell"
"mouse",1,"neuroendocrine cell"
"mouse",1,"cone retinal bipolar cell"
"mouse",1,"intercalated amygdaloid nuclei"
"rat",1,"white matter of cerebellum"
"rat",1,"cerebellar peduncular complex"
"rat",1,"brainstem white matter"
"rat",1,"optic disc"
"mouse",1,"cochlear inner hair cell"
"mouse",1,"outer hair cell"
"mouse",1,"optic vesicle"
"mouse",1,"frontal pole"
"mouse",1,"pole of cerebral hemisphere"
"rat",1,"inferior colliculus"
"rat",1,"corpora quadrigemina"
"rat",1,"midbrain tectum"
"mouse",1,"epithelium of cochlear duct"
"human",1,"postnatal subventricular zone"
"human",1,"post-embryonic organism"
"mouse",1,"inhibitory neuron"
"rat",1,"CA2 field of hippocampus"
"rat",1,"extraembryonic cell"
"rat",1,"mesenchymal stem cell of umbilical cord"
"rat",1,"extraembryonic structure"
"rat",1,"umbilical cord"
"rat",1,"mesenchyme"
"rat",1,"mesenchyme of umbilical cord"
"rat",1,"extraembryonic tissue"
"mouse",1,"brain meninx"
"rat",1,"rostral ventrolateral medulla"
"mouse",1,"ventricular zone"
"mouse",1,"ependyma"
"mouse",1,"brain ependyma"
"mouse",1,"rhombomere 1"
"mouse",1,"rhombomere 3"
"mouse",1,"rhombomere 4"
"mouse",1,"rhombomere 5"
"human",1,"bone marrow macrophage"
"mouse",1,"dorsal longitudinal fasciculus of midbrain"
"mouse",1,"dorsal longitudinal fasciculus"
"mouse",1,"fasciculus of brain"
"mouse",1,"perivascular macrophage"
"human",1,"optic chiasma"
"human",1,"neural decussation"
"human",1,"decussation of diencephalon"
"human",1,"cerebrospinal fluid"
"human",1,"epithalamus"
"human",1,"pineal body"
"human",1,"circumventricular organ"
"human",1,"secretory circumventricular organ"
"human",1,"pineal complex"
"rat",1,"superior cervical ganglion"
"rat",1,"cervical ganglion"
"mouse",1,"rhombic lip"
"mouse",1,"future metencephalon"
"mouse",1,"cerebellum lobe"
"mouse",1,"Viruses"
"mouse",1,"protein"
"mouse",1,"amino acid chain"
"mouse",1,"glycoprotein"
"human",1,"primordium"
"human",1,"tetrapod frontal bone primordium"
"human",1,"tetrapod parietal bone primordium"
"human",1,"presumptive structure"
"mouse",1,"glioblast"
"mouse",1,"Schwann cell precursor"
"human",1,"superior colliculus"
"human",1,"corpora quadrigemina"
"human",1,"midbrain tectum"
"human",1,"visual processing part of nervous system"
"human",1,"Schwann cell precursor"
"rat",1,"common carotid artery plus branches"
"rat",1,"internal carotid artery"
"rat",1,"middle cerebral artery"
"rat",1,"carotid artery segment"
"rat",1,"T cell"
