"et.Val","ee.Taxon","N"
"HSPA4 [human] heat shock protein family A (Hsp70) member 4","human",1
"BDNF [human] brain-derived neurotrophic factor","human",1
"AFF1 [human] AF4/FMR2 family member 1","human",1
"PML [human] promyelocytic leukemia","human",1
"TAF4 [human] TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa","human",1
"CDH5 [human] cadherin 5","human",1
"CDH12 [human] cadherin 12","human",1
"BCAP31 [human] B cell receptor associated protein 31","human",1
"CDK3 [human] cyclin dependent kinase 3","human",1
"CDKN2B [human] cyclin dependent kinase inhibitor 2B","human",1
"CDKN2D [human] cyclin dependent kinase inhibitor 2D","human",1
"KLF2 [human] Kruppel like factor 2","human",1
"MAD2L2 [human] mitotic arrest deficient 2 like 2","human",1
"CENPA [human] centromere protein A","human",1
"CENPB [human] centromere protein B","human",1
"CENPC [human] centromere protein C","human",1
"TAF6L [human] TATA-box binding protein associated factor 6 like","human",1
"PLK2 [human] polo like kinase 2","human",1
"ZNF274 [human] zinc finger protein 274","human",1
"TCERG1 [human] transcription elongation regulator 1","human",1
"TMED2 [human] transmembrane p24 trafficking protein 2","human",1
"CCNI [human] cyclin I","human",1
"CDC42EP1 [human] CDC42 effector protein 1","human",1
"NUDT5 [human] nudix hydrolase 5","human",1
"CHEK2 [human] checkpoint kinase 2","human",1
"CHUK [human] conserved helix-loop-helix ubiquitous kinase","human",1
"FBXO32 [human] F-box protein 32","human",1
"PLK3 [human] polo like kinase 3","human",1
"GABPB2 [human] GA binding protein transcription factor subunit beta 2","human",1
"CREM [human] cAMP responsive element modulator","human",1
"CRK [human] CRK proto-oncogene, adaptor protein","human",1
"CRX [human] cone-rod homeobox","human",1
"CX3CR1 [human] C-X3-C motif chemokine receptor 1","human",1
"DHX15 [human] DEAH-box helicase 15","human",1
"DLX4 [human] distal-less homeobox 4","human",1
"DUT [human] deoxyuridine triphosphatase","human",1
"E2F2 [human] E2F transcription factor 2","human",1
"EFNA1 [human] ephrin A1","human",1
"EFNB1 [human] ephrin B1","human",1
"EFNB2 [human] ephrin B2","human",1
"ENG [human] endoglin","human",1
"ETS2 [human] ETS proto-oncogene 2, transcription factor","human",1
"ETV4 [human] ETS variant 4","human",1
"ETV5 [human] ETS variant 5","human",1
"FABP4 [human] fatty acid binding protein 4","human",1
"TFEC [human] transcription factor EC","human",1
"VASH1 [human] vasohibin 1","human",1
"FOXD2 [human] forkhead box D2","human",1
"FLT1 [human] fms related tyrosine kinase 1","human",1
"FLT4 [human] fms related tyrosine kinase 4","human",1
"CDC42EP4 [human] CDC42 effector protein 4","human",1
"DDX58 [human] DExD/H-box helicase 58","human",1
"ORC6 [human] origin recognition complex subunit 6","human",1
"ORC3 [human] origin recognition complex subunit 3","human",1
"EID1 [human] EP300 interacting inhibitor of differentiation 1","human",1
"MAFF [human] MAF bZIP transcription factor F","human",1
"IL4I1 [human] interleukin 4 induced 1","human",1
"GATA4 [human] GATA binding protein 4","human",1
"MYCBP [human] MYC binding protein","human",1
"TAF5L [human] TATA-box binding protein associated factor 5 like","human",1
"GPR4 [human] G protein-coupled receptor 4","human",1
"CXCR3 [human] C-X-C motif chemokine receptor 3","human",1
"ANGPT2 [human] angiopoietin 2","human",1
"FAM78A [human] family with sequence similarity 78 member A","human",1
"HIPK2 [human] homeodomain interacting protein kinase 2","human",1
"CXCL1 [human] C-X-C motif chemokine ligand 1","human",1
"CXCL2 [human] C-X-C motif chemokine ligand 2","human",1
"CXCL3 [human] C-X-C motif chemokine ligand 3","human",1
"GTF2A2 [human] general transcription factor IIA subunit 2","human",1
"GTF2E1 [human] general transcription factor IIE subunit 1","human",1
"GTF2E2 [human] general transcription factor IIE subunit 2","human",1
"GTF2F1 [human] general transcription factor IIF subunit 1","human",1
"GTF2H1 [human] general transcription factor IIH subunit 1","human",1
"GTF2H4 [human] general transcription factor IIH subunit 4","human",1
"GTF2I [human] general transcription factor IIi","human",1
"GTF3C2 [human] general transcription factor IIIC subunit 2","human",1
"TFPT [human] TCF3 fusion partner","human",1
"ANAPC2 [human] anaphase promoting complex subunit 2","human",1
"HIVEP2 [human] human immunodeficiency virus type I enhancer binding protein 2","human",1
"HOXA11 [human] homeobox A11","human",1
"PRMT1 [human] protein arginine methyltransferase 1","human",1
"HSF4 [human] heat shock transcription factor 4","human",1
"HUS1 [human] HUS1 checkpoint clamp component","human",1
"IFIT3 [human] interferon induced protein with tetratricopeptide repeats 3","human",1
"IL1A [human] interleukin 1 alpha","human",1
"IL1B [human] interleukin 1, beta","human",1
"IL1R1 [human] interleukin 1 receptor type 1","human",1
"IL2RB [human] interleukin 2 receptor subunit beta","human",1
"IL2RG [human] interleukin 2 receptor subunit gamma","human",1
"IL6 [human] interleukin 6","human",1
"CXCL8 [human] C-X-C motif chemokine ligand 8","human",1
"CXCR1 [human] C-X-C motif chemokine receptor 1","human",1
"CXCR2 [human] C-X-C motif chemokine receptor 2","human",1
"IL15 [human] interleukin 15","human",1
"IL15RA [human] interleukin 15 receptor subunit alpha","human",1
"ILF2 [human] interleukin enhancer binding factor 2","human",1
"ILF3 [human] interleukin enhancer binding factor 3","human",1
"CXCL10 [human] C-X-C motif chemokine ligand 10","human",1
"IRAK1 [human] interleukin 1 receptor associated kinase 1","human",1
"ISL1 [human] ISL LIM homeobox 1","human",1
"ARHGAP1 [human] Rho GTPase activating protein 1","human",1
"ARHGAP4 [human] Rho GTPase activating protein 4","human",1
"LTA4H [human] leukotriene A4 hydrolase","human",1
"MAD2L1 [human] mitotic arrest deficient 2 like 1","human",1
"SMAD1 [human] SMAD family member 1","human",1
"SMAD7 [human] SMAD family member 7","human",1
"MAZ [human] MYC associated zinc finger protein","human",1
"MCM3 [human] minichromosome maintenance complex component 3","human",1
"MCM4 [human] minichromosome maintenance complex component 4","human",1
"MCM5 [human] minichromosome maintenance complex component 5","human",1
"MCM6 [human] minichromosome maintenance complex component 6","human",1
"MCM7 [human] minichromosome maintenance complex component 7","human",1
"MDM2 [human] MDM2 proto-oncogene","human",1
"MEOX2 [human] mesenchyme homeobox 2","human",1
"MKI67 [human] marker of proliferation Ki-67","human",1
"MNAT1 [human] MNAT1, CDK activating kinase assembly factor","human",1
"MNT [human] MAX network transcriptional repressor","human",1
"ZFHX3 [human] zinc finger homeobox 3","human",1
"MYOG [human] myogenin","human",1
"NFATC1 [human] nuclear factor of activated T cells 1","human",1
"NFKBIA [human] NFKB inhibitor alpha","human",1
"NFKBIE [human] NFKB inhibitor epsilon","human",1
"NFKBIL1 [human] NFKB inhibitor like 1","human",1
"TONSL [human] tonsoku like, DNA repair protein","human",1
"NKX3-1 [human] NK3 homeobox 1","human",1
"ORC1 [human] origin recognition complex subunit 1","human",1
"ORC2 [human] origin recognition complex subunit 2","human",1
"ORC4 [human] origin recognition complex subunit 4","human",1
"ORC5 [human] origin recognition complex subunit 5","human",1
"GMNN [human] geminin, DNA replication inhibitor","human",1
"SLC15A3 [human] solute carrier family 15 member 3","human",1
"UBE2J1 [human] ubiquitin conjugating enzyme E2 J1","human",1
"CWC15 [human] CWC15 spliceosome associated protein homolog","human",1
"TDP2 [human] tyrosyl-DNA phosphodiesterase 2","human",1
"PDGFRB [human] platelet derived growth factor receptor beta","human",1
"PIK3CD [human] phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","human",1
"PIK3CG [human] phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","human",1
"PIK3R1 [human] phosphoinositide-3-kinase regulatory subunit 1","human",1
"PIK3R2 [human] phosphoinositide-3-kinase regulatory subunit 2","human",1
"PIN1P1 [human] peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1","human",1
"POLR2C [human] RNA polymerase II subunit C","human",1
"POLR2E [human] RNA polymerase II subunit E","human",1
"SOX18 [human] SRY-box 18","human",1
"POLR2I [human] RNA polymerase II subunit I","human",1
"ASNSD1 [human] asparagine synthetase domain containing 1","human",1
"POU6F1 [human] POU class 6 homeobox 1","human",1
"PPARD [human] peroxisome proliferator activated receptor delta","human",1
"MED1 [human] mediator complex subunit 1","human",1
"ELP2 [human] elongator acetyltransferase complex subunit 2","human",1
"PPP3CB [human] protein phosphatase 3 catalytic subunit beta","human",1
"PPP5C [human] protein phosphatase 5 catalytic subunit","human",1
"PRKACB [human] protein kinase cAMP-activated catalytic subunit beta","human",1
"PRKAR1A [human] protein kinase cAMP-dependent type I regulatory subunit alpha","human",1
"PRKCA [human] protein kinase C alpha","human",1
"THAP12 [human] THAP domain containing 12","human",1
"PTGS2 [human] prostaglandin-endoperoxide synthase 2","human",1
"PTMA [human] prothymosin alpha","human",1
"PTX3 [human] pentraxin 3","human",1
"RAD1 [human] RAD1 checkpoint DNA exonuclease","human",1
"RAC1 [human] Rac family small GTPase 1","human",1
"RAD9A [human] RAD9 checkpoint clamp component A","human",1
"RAD17 [human] RAD17 checkpoint clamp loader component","human",1
"RARB [human] retinoic acid receptor beta","human",1
"RBP1 [human] retinol binding protein 1","human",1
"REL [human] REL proto-oncogene, NF-kB subunit","human",1
"RPA3 [human] replication protein A3","human",1
"RPL11 [human] ribosomal protein L11","human",1
"RREB1 [human] ras responsive element binding protein 1","human",1
"CFB [human] complement factor B","human",1
"CCL2 [human] C-C motif chemokine ligand 2","human",1
"CXCL11 [human] C-X-C motif chemokine ligand 11","human",1
"CX3CL1 [human] C-X3-C motif chemokine ligand 1","human",1
"PKNOX2 [human] PBX/knotted 1 homeobox 2","human",1
"IFIH1 [human] interferon induced with helicase C domain 1","human",1
"MARCH7 [human] membrane associated ring-CH-type finger 7","human",1
"CENPH [human] centromere protein H","human",1
"SKP1 [human] S-phase kinase associated protein 1","human",1
"TCEB3CL2 [human] transcription elongation factor B polypeptide 3C-like 2","human",1
"SNAPC4 [human] small nuclear RNA activating complex polypeptide 4","human",1
"SP2 [human] Sp2 transcription factor","human",1
"STAT4 [human] signal transducer and activator of transcription 4","human",1
"AURKA [human] aurora kinase A","human",1
"TAF2 [human] TATA-box binding protein associated factor 2","human",1
"TAF5 [human] TATA-box binding protein associated factor 5","human",1
"TAF6 [human] TATA-box binding protein associated factor 6","human",1
"TAF7 [human] TATA-box binding protein associated factor 7","human",1
"TAF9 [human] TATA-box binding protein associated factor 9","human",1
"TAF10 [human] TATA-box binding protein associated factor 10","human",1
"TAF11 [human] TATA-box binding protein associated factor 11","human",1
"TAF12 [human] TATA-box binding protein associated factor 12","human",1
"TBP [human] TATA-box binding protein","human",1
"TCEA2 [human] transcription elongation factor A2","human",1
"ELOC [human] elongin C","human",1
"ZEB1 [human] zinc finger E-box binding homeobox 1","human",1
"TEK [human] TEK receptor tyrosine kinase","human",1
"TGFBR1 [human] transforming growth factor beta receptor 1","human",1
"TGIF1 [human] TGFB induced factor homeobox 1","human",1
"TIE1 [human] tyrosine kinase with immunoglobulin like and EGF like domains 1","human",1
"TM7SF2 [human] transmembrane 7 superfamily member 2","human",1
"TMF1 [human] TATA element modulatory factor 1","human",1
"TNFAIP1 [human] TNF alpha induced protein 1","human",1
"TNFRSF1A [human] TNF receptor superfamily member 1A","human",1
"TOP2B [human] DNA topoisomerase II beta","human",1
"TRAF1 [human] TNF receptor associated factor 1","human",1
"HIRA [human] histone cell cycle regulator","human",1
"USF2 [human] upstream transcription factor 2, c-fos interacting","human",1
"VAV1 [human] vav guanine nucleotide exchange factor 1","human",1
"YWHAZ [human] tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta","human",1
"ZNF143 [human] zinc finger protein 143","human",1
"IL1R2 [human] interleukin 1 receptor type 2","human",1
"DEK [human] DEK proto-oncogene","human",1
"TNIP2 [human] TNFAIP3 interacting protein 2","human",1
"CYBC1 [human] cytochrome b-245 chaperone 1","human",1
"ATP13A3 [human] ATPase 13A3","human",1
"TCEAL4 [human] transcription elongation factor A like 4","human",1
"KMT2D [human] lysine methyltransferase 2D","human",1
"CDC7 [human] cell division cycle 7","human",1
"CDC45 [human] cell division cycle 45","human",1
"CASP1 [human] caspase 1","human",1
"CMSS1 [human] cms1 ribosomal small subunit homolog","human",1
"TTF2 [human] transcription termination factor 2","human",1
"PIK3R3 [human] phosphoinositide-3-kinase regulatory subunit 3","human",1
"EAF1 [human] ELL associated factor 1","human",1
"CCNB3 [human] cyclin B3","human",1
"EDF1 [human] endothelial differentiation related factor 1","human",1
"NRP1 [human] neuropilin 1","human",1
"CFLAR [human] CASP8 and FADD like apoptosis regulator","human",1
"CCNA1 [human] cyclin A1","human",1
"CCNC [human] cyclin C","human",1
"CCND2 [human] cyclin D2","human",1
"CCNE1 [human] cyclin E1","human",1
"CCNF [human] cyclin F","human",1
"CCNG1 [human] cyclin G1","human",1
"TAF1C [human] TATA-box binding protein associated factor, RNA polymerase I subunit C","human",1
"TAF1B [human] TATA-box binding protein associated factor, RNA polymerase I subunit B","human",1
"CCNH [human] cyclin H","human",1
"CCNT1 [human] cyclin T1","human",1
"CCNT2 [human] cyclin T2","human",1
"CCNE2 [human] cyclin E2","human",1
"AURKB [human] aurora kinase B","human",1
"FCMR [human] Fc fragment of IgM receptor","human",1
"MSC [human] musculin","human",1
"TCEAL1 [human] transcription elongation factor A like 1","human",1
"MED7 [human] mediator complex subunit 7","human",1
"NCOR1 [human] nuclear receptor corepressor 1","human",1
"CDC6 [human] cell division cycle 6","human",1
"CDC25C [human] cell division cycle 25C","human",1
"CDC27 [human] cell division cycle 27","human",1
"Nr2f2 [mouse] nuclear receptor subfamily 2, group F, member 2","mouse",1
"Elf1 [mouse] E74-like factor 1","mouse",1
"Aes [mouse] amino-terminal enhancer of split","mouse",1
"Smad1 [mouse] SMAD family member 1","mouse",1
"Msc [mouse] musculin","mouse",1
"Rhox6 [mouse] reproductive homeobox 6","mouse",1
"Zfand3 [mouse] zinc finger, AN1-type domain 3","mouse",1
"Tuba1a [mouse] tubulin, alpha 1A","mouse",1
"Nrip1 [mouse] nuclear receptor interacting protein 1","mouse",1
"Etv3 [mouse] ets variant 3","mouse",1
"Cbx8 [mouse] chromobox 8","mouse",1
"Foxj2 [mouse] forkhead box J2","mouse",1
"external ectoderm","mouse",1
"lens of camera-type eye","mouse",1
"Barhl2 [mouse] BarH like homeobox 2","mouse",1
"Cphx1 [mouse] cytoplasmic polyadenylated homeobox 1","mouse",1
"Foxn4 [mouse] forkhead box N4","mouse",1
"Dlx4 [mouse] distal-less homeobox 4","mouse",1
"Etv2 [mouse] ets variant 2","mouse",1
"Foxh1 [mouse] forkhead box H1","mouse",1
"Hoxc9 [mouse] homeobox C9","mouse",1
"Hoxd1 [mouse] homeobox D1","mouse",1
"Lhx1 [mouse] LIM homeobox protein 1","mouse",1
"Lhx8 [mouse] LIM homeobox protein 8","mouse",1
"Msx1 [mouse] msh homeobox 1","mouse",1
"Msx3 [mouse] msh homeobox 3","mouse",1
"Nkx2-3 [mouse] NK2 homeobox 3","mouse",1
"Pdx1 [mouse] pancreatic and duodenal homeobox 1","mouse",1
"Pitx1 [mouse] paired-like homeodomain transcription factor 1","mouse",1
"Tbx6 [mouse] T-box 6","mouse",1
"Tcf15 [mouse] transcription factor 15","mouse",1
"Snai3 [mouse] snail family zinc finger 3","mouse",1
"Sall2 [mouse] spalt like transcription factor 2","mouse",1
"Plac1 [mouse] placental specific protein 1","mouse",1
"Dmrtc2 [mouse] doublesex and mab-3 related transcription factor like family C2","mouse",1
"Nkx6-3 [mouse] NK6 homeobox 3","mouse",1
"Glis2 [mouse] GLIS family zinc finger 2","mouse",1
"PRMT3 [human] protein arginine methyltransferase 3","human",1
"PRMT6 [human] protein arginine methyltransferase 6","human",1
"Profound","human",1
"moderate","human",1
"ATF7 [human] activating transcription factor 7","human",1
"ATF2 [human] activating transcription factor 2","human",1
"ATF5 [human] activating transcription factor 5","human",1
"FOSB [human] FosB proto-oncogene, AP-1 transcription factor subunit","human",1
"FOXN2 [human] forkhead box N2","human",1
"ATF4 [human] activating transcription factor 4","human",1
"NOTCH3 [human] notch 3","human",1
"OVOL1 [human] ovo like transcriptional repressor 1","human",1
"PBX2 [human] PBX homeobox 2","human",1
"SOX6 [human] SRY-box 6","human",1
"OVOL2 [human] ovo like zinc finger 2","human",1
"PRDM1 [human] PR/SET domain 1","human",1
"FOXN1 [human] forkhead box N1","human",1
"LRRFIP1 [human] LRR binding FLII interacting protein 1","human",1
"CREB5 [human] cAMP responsive element binding protein 5","human",1
"Hoxa3 [mouse] homeobox A3","mouse",1
"ZBTB18 [human] zinc finger and BTB domain containing 18","human",1
"MIR206 [human] microRNA 206","human",1
"RUNX3 [human] runt related transcription factor 3","human",1
"NDC1 [human] NDC1 transmembrane nucleoporin","human",1
"LMO1 [human] LIM domain only 1","human",1
"ARID5B [human] AT-rich interaction domain 5B","human",1
"neg-1 [worm] Negative Effect on Gut development","mouse",1
"Zfp64 [mouse] zinc finger protein 64","mouse",1
"Nup210 [mouse] nucleoporin 210","mouse",1
"SIK3 [human] SIK family kinase 3","human",1
"STK11 [human] serine/threonine kinase 11","human",1
"ZNF92 [human] zinc finger protein 92","human",1
"GLIS3 [human] GLIS family zinc finger 3","human",1
"SOX9 [human] SRY-box 9","human",1
"TMED3 [human] transmembrane p24 trafficking protein 3","human",1
"TMED9 [human] transmembrane p24 trafficking protein 9","human",1
"Gli2 [mouse] GLI-Kruppel family member GLI2","mouse",1
"Human papillomavirus","mouse",1
"Krt14 [mouse] keratin 14","mouse",1
"Glb1l [mouse] galactosidase, beta 1-like","mouse",1
"ZFX [human] zinc finger protein, X-linked","mouse",1
"Calm1 [mouse] calmodulin 1","mouse",1
"Cdc73 [mouse] cell division cycle 73, Paf1/RNA polymerase II complex component","mouse",1
"Men1 [mouse] multiple endocrine neoplasia 1","mouse",1
"Psip1 [mouse] PC4 and SFRS1 interacting protein 1","mouse",1
"MLL1 complex","mouse",1
"Jmjd1c [mouse] jumonji domain containing 1C","mouse",1
"Scgb1a1 [mouse] secretoglobin, family 1A, member 1 (uteroglobin)","mouse",1
"Mir223 [mouse] microRNA 223","mouse",1
"TGIF1 [human] TGFB induced factor homeobox 1","mouse",1
"Cd34 [mouse] CD34 antigen","mouse",1
"MEIS2 [human] Meis homeobox 2","mouse",1
"Meis2 [mouse] Meis homeobox 2","mouse",1
"Zfp189 [mouse] zinc finger protein 189","mouse",1
"Cntnap2 [mouse] contactin associated protein-like 2","mouse",1
"Stmn2 [mouse] stathmin-like 2","mouse",1
"Amyloid Precursor Protein","mouse",1
"Mov10 [mouse] Moloney leukemia virus 10","mouse",1
